YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER
,,,,,,,,
1987,PAK,267,6,10,SL,WON,HYDERABAD,AUSTRALIA
,PAK,239,7,10,ENG,WON,RAWALPINDI,
,PAK,216,9,10,WI,WON,LAHORE,
,PAK,247,3,9,ENG,WON, KARACHI ,
,PAK,297,7,8,SL,WON,FAISALABAD,
,PAK,230,9,7,WI,LOST,KARACHI,
,PAK,249,10,8,AUS,LOST,LAHORE,
,,,,,,,,
,SL,252,10,6,PAK,LOST,HYDERABAD,
,SL,169,4,4,WI,LOST,KARACHI,
,SL,158,8,4,ENG,LOST,PESHAWAR,
,SL,211,8,8,WI,LOST,KANPUR ,
,SL,184,8,7,PAK,LOST,FAISALABAD,
,SL,218,7,2,ENG,LOST,PUNE,
,,,,,,,,
,ENG,246,8,7,WI,WON,GUJRANWALA,
,ENG,221,10,7,PAK,LOST,RAWALPINDI,
,ENG,296,4,8,SL,WON,PESHAWAR,
,ENG,244,9,3,PAK,LOST,KANPUR ,
,ENG,269,5,10,WI,WON,JAIPUR,
,ENG,219,2,7,SL,WON,PUNE,
,ENG,254,6,10,IND,WON,MUMBAI,
,ENG,246,8,5,AUS,LOST,KOLKATA,
,,,,,,,,
,WI,243,7,8,ENG,LOST,GUJRANWALA,
,WI,360,4,4,SL,WON,KANPUR ,
,WI,216,10,9,PAK,LOST,LAHORE,
,WI,236,8,8,SL,WON,KANPUR ,
,WI,235,10,5,ENG,LOST,JAIPUR,
,WI,258,7,9,PAK,WON,KARACHI,
,,,,,,,,
,IND,269,10,6,AUS,LOST,CHENNAI,
,IND,252,7,8,NZ,WON,BENGALURU,
,IND,136,2,5,ZIM,WON,MUMBAI,
,IND,289,6,10,AUS,WON,DELHI,
,IND,194,3,7,ZIM,WON,AHMEDABAD,
,IND,224,1,9,NZ,WON,NAGPUR,
,IND,219,10,6,ENG,LOST,MUMBAI,
,,,,,,,,
,AUS,270,6,10,IND,WON,CHENNAI,
,AUS,235,9,10,ZIM,WON,CHENNAI,
,AUS,199,4,9,NZ,WON,INDORE,
,AUS,289,6,10,IND,LOST,DELHI,
,AUS,251,8,10,NZ,WON,CHANDIGARH,
,AUS,266,5,6,ZIM,WON,CUTTACK ,
,AUS,267,8,10,PAK,WON,LAHORE,
,AUS,253,5,8,ENG,WON,KOLKATA,
,,,,,,,,
,NZ,242,7,10,ZIM,WON,HYDERABAD,
,NZ,236,8,7,IND,LOST,BENGALURU,
,NZ,196,9,4,AUS,LOST,INDORE,
,NZ,228,6,5,ZIM,WON,KOLKATA,
,NZ,234,10,8,AUS,LOST,CHANDIGARH,
,NZ,221,9,1,IND,LOST,NAGPUR,
,,,,,,,,
,ZIM,239,10,7,NZ,LOST,HYDERABAD,
,ZIM,139,10,9,AUS,LOST,CHANDIGARH,
,ZIM,135,10,2,IND,LOST,MUMBAI,
,ZIM,227,5,6,NZ,LOST,KOLKATA,
,ZIM,191,7,3,IND,LOST,AHMEDABAD,
,ZIM,196,6,5,AUS,LOST,CUTTACK ,
